# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions
# and other software and tools, and its AMPP partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Altera Program License
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other
# applicable license agreement, including, without limitation,
# that your use is for the sole purpose of programming logic
# devices manufactured by Altera and sold by Altera or its
# authorized distributors.  Please refer to the applicable
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 139 03/11/2015 Patches 0.02zb SJ Full Version
# File: C:\Development\DECA\Gesture_Sensor\Gesture_Lab\DECA_golden_top.csv
# Generated on: Tue Apr 14 13:39:34 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
BBB_PWR_BUT,Input,PIN_U6,3,B3_N0,PIN_U6,3.3-V LVTTL,,,,,
BBB_SYS_RESET_n,Input,PIN_AA2,3,B3_N0,PIN_AA2,3.3-V LVTTL,,,,,
CAP_SENSE_I2C_SCL,Bidir,PIN_AB2,3,B3_N0,PIN_AB2,3.3-V LVTTL,,,,,
CAP_SENSE_I2C_SDA,Bidir,PIN_AB3,3,B3_N0,PIN_AB3,3.3-V LVTTL,,,,,
FLASH_DATA[3],Bidir,PIN_P10,3,B3_N0,PIN_P10,3.3-V LVTTL,,,,,
FLASH_DATA[2],Bidir,PIN_V5,3,B3_N0,PIN_V5,3.3-V LVTTL,,,,,
FLASH_DATA[1],Bidir,PIN_V4,3,B3_N0,PIN_V4,3.3-V LVTTL,,,,,
FLASH_DATA[0],Bidir,PIN_P12,4,B4_N0,PIN_P12,3.3-V LVTTL,,,,,
FLASH_DCLK,Output,PIN_R12,4,B4_N0,PIN_R12,3.3-V LVTTL,,,,,
FLASH_NCSO,Output,PIN_R10,3,B3_N0,PIN_R10,3.3-V LVTTL,,,,,
FLASH_RESET_n,Output,PIN_W10,3,B3_N0,PIN_W10,3.3-V LVTTL,,,,,
GPIO0_D[43],Bidir,PIN_R13,4,B4_N0,PIN_R13,3.3-V LVTTL,,,,,
GPIO0_D[42],Bidir,PIN_U15,4,B4_N0,PIN_U15,3.3-V LVTTL,,,,,
GPIO0_D[41],Bidir,PIN_W14,4,B4_N0,PIN_W14,3.3-V LVTTL,,,,,
GPIO0_D[40],Bidir,PIN_Y17,4,B4_N0,PIN_Y17,3.3-V LVTTL,,,,,
GPIO0_D[39],Bidir,PIN_V14,4,B4_N0,PIN_V14,3.3-V LVTTL,,,,,
GPIO0_D[38],Bidir,PIN_V13,4,B4_N0,PIN_V13,3.3-V LVTTL,,,,,
GPIO0_D[37],Bidir,PIN_V11,4,B4_N0,PIN_V11,3.3-V LVTTL,,,,,
GPIO0_D[36],Bidir,PIN_V12,4,B4_N0,PIN_V12,3.3-V LVTTL,,,,,
GPIO0_D[35],Bidir,PIN_W11,4,B4_N0,PIN_W11,3.3-V LVTTL,,,,,
GPIO0_D[34],Bidir,PIN_W12,4,B4_N0,PIN_W12,3.3-V LVTTL,,,,,
GPIO0_D[33],Bidir,PIN_W13,4,B4_N0,PIN_W13,3.3-V LVTTL,,,,,
GPIO0_D[32],Bidir,PIN_Y11,4,B4_N0,PIN_Y11,3.3-V LVTTL,,,,,
GPIO0_D[31],Bidir,PIN_Y13,4,B4_N0,PIN_Y13,3.3-V LVTTL,,,,,
GPIO0_D[30],Bidir,PIN_AB10,4,B4_N0,PIN_AB10,3.3-V LVTTL,,,,,
GPIO0_D[29],Bidir,PIN_AA11,4,B4_N0,PIN_AA11,3.3-V LVTTL,,,,,
GPIO0_D[28],Bidir,PIN_AB11,4,B4_N0,PIN_AB11,3.3-V LVTTL,,,,,
GPIO0_D[27],Bidir,PIN_AA12,4,B4_N0,PIN_AA12,3.3-V LVTTL,,,,,
GPIO0_D[26],Bidir,PIN_AB12,4,B4_N0,PIN_AB12,3.3-V LVTTL,,,,,
GPIO0_D[25],Bidir,PIN_AA13,4,B4_N0,PIN_AA13,3.3-V LVTTL,,,,,
GPIO0_D[24],Bidir,PIN_AB13,4,B4_N0,PIN_AB13,3.3-V LVTTL,,,,,
GPIO0_D[23],Bidir,PIN_AA14,4,B4_N0,PIN_AA14,3.3-V LVTTL,,,,,
GPIO0_D[22],Bidir,PIN_AB14,4,B4_N0,PIN_AB14,3.3-V LVTTL,,,,,
GPIO0_D[21],Bidir,PIN_AA15,4,B4_N0,PIN_AA15,3.3-V LVTTL,,,,,
GPIO0_D[20],Bidir,PIN_Y14,4,B4_N0,PIN_Y14,3.3-V LVTTL,,,,,
GPIO0_D[19],Bidir,PIN_W15,4,B4_N0,PIN_W15,3.3-V LVTTL,,,,,
GPIO0_D[18],Bidir,PIN_AB15,4,B4_N0,PIN_AB15,3.3-V LVTTL,,,,,
GPIO0_D[17],Bidir,PIN_W16,4,B4_N0,PIN_W16,3.3-V LVTTL,,,,,
GPIO0_D[16],Bidir,PIN_AB16,4,B4_N0,PIN_AB16,3.3-V LVTTL,,,,,
GPIO0_D[15],Bidir,PIN_AA16,4,B4_N0,PIN_AA16,3.3-V LVTTL,,,,,
GPIO0_D[14],Bidir,PIN_AB17,4,B4_N0,PIN_AB17,3.3-V LVTTL,,,,,
GPIO0_D[13],Bidir,PIN_W17,4,B4_N0,PIN_W17,3.3-V LVTTL,,,,,
GPIO0_D[12],Bidir,PIN_V15,4,B4_N0,PIN_V15,3.3-V LVTTL,,,,,
GPIO0_D[11],Bidir,PIN_AB18,4,B4_N0,PIN_AB18,3.3-V LVTTL,,,,,
GPIO0_D[10],Bidir,PIN_V16,4,B4_N0,PIN_V16,3.3-V LVTTL,,,,,
GPIO0_D[9],Bidir,PIN_Y16,4,B4_N0,PIN_Y16,3.3-V LVTTL,,,,,
GPIO0_D[8],Bidir,PIN_AB19,4,B4_N0,PIN_AB19,3.3-V LVTTL,,,,,
GPIO0_D[7],Bidir,PIN_AB20,4,B4_N0,PIN_AB20,3.3-V LVTTL,,,,,
GPIO0_D[6],Bidir,PIN_AB21,4,B4_N0,PIN_AB21,3.3-V LVTTL,,,,,
GPIO0_D[5],Bidir,PIN_AA19,4,B4_N0,PIN_AA19,3.3-V LVTTL,,,,,
GPIO0_D[4],Bidir,PIN_AA20,4,B4_N0,PIN_AA20,3.3-V LVTTL,,,,,
GPIO0_D[3],Bidir,PIN_AA17,4,B4_N0,PIN_AA17,3.3-V LVTTL,,,,,
GPIO0_D[2],Bidir,PIN_Y19,4,B4_N0,PIN_Y19,3.3-V LVTTL,,,,,
GPIO0_D[1],Bidir,PIN_Y18,4,B4_N0,PIN_Y18,3.3-V LVTTL,,,,,
GPIO0_D[0],Bidir,PIN_W18,4,B4_N0,PIN_W18,3.3-V LVTTL,,,,,
GPIO1_D[22],Bidir,PIN_W3,3,B3_N0,PIN_W3,3.3-V LVTTL,,,,,
GPIO1_D[21],Bidir,PIN_V17,4,B4_N0,PIN_V17,3.3-V LVTTL,,,,,
GPIO1_D[20],Bidir,PIN_P9,3,B3_N0,PIN_P9,3.3-V LVTTL,,,,,
GPIO1_D[19],Bidir,PIN_W4,3,B3_N0,PIN_W4,3.3-V LVTTL,,,,,
GPIO1_D[18],Bidir,PIN_R9,3,B3_N0,PIN_R9,3.3-V LVTTL,,,,,
GPIO1_D[17],Bidir,PIN_W5,3,B3_N0,PIN_W5,3.3-V LVTTL,,,,,
GPIO1_D[16],Bidir,PIN_W9,3,B3_N0,PIN_W9,3.3-V LVTTL,,,,,
GPIO1_D[15],Bidir,PIN_U7,3,B3_N0,PIN_U7,3.3-V LVTTL,,,,,
GPIO1_D[14],Bidir,PIN_V10,3,B3_N0,PIN_V10,3.3-V LVTTL,,,,,
GPIO1_D[13],Bidir,PIN_Y7,3,B3_N0,PIN_Y7,3.3-V LVTTL,,,,,
GPIO1_D[12],Bidir,PIN_AA6,3,B3_N0,PIN_AA6,3.3-V LVTTL,,,,,
GPIO1_D[11],Bidir,PIN_AA7,3,B3_N0,PIN_AA7,3.3-V LVTTL,,,,,
GPIO1_D[10],Bidir,PIN_AB6,3,B3_N0,PIN_AB6,3.3-V LVTTL,,,,,
GPIO1_D[9],Bidir,PIN_AB7,3,B3_N0,PIN_AB7,3.3-V LVTTL,,,,,
GPIO1_D[8],Bidir,PIN_R11,3,B3_N0,PIN_R11,3.3-V LVTTL,,,,,
GPIO1_D[7],Bidir,PIN_V7,3,B3_N0,PIN_V7,3.3-V LVTTL,,,,,
GPIO1_D[6],Bidir,PIN_AB8,3,B3_N0,PIN_AB8,3.3-V LVTTL,,,,,
GPIO1_D[5],Bidir,PIN_V8,3,B3_N0,PIN_V8,3.3-V LVTTL,,,,,
GPIO1_D[4],Bidir,PIN_W8,3,B3_N0,PIN_W8,3.3-V LVTTL,,,,,
GPIO1_D[3],Bidir,PIN_W7,3,B3_N0,PIN_W7,3.3-V LVTTL,,,,,
GPIO1_D[2],Bidir,PIN_W6,3,B3_N0,PIN_W6,3.3-V LVTTL,,,,,
GPIO1_D[1],Bidir,PIN_Y6,3,B3_N0,PIN_Y6,3.3-V LVTTL,,,,,
GPIO1_D[0],Bidir,PIN_Y5,3,B3_N0,PIN_Y5,3.3-V LVTTL,,,,,
HDMI_I2C_SCL,Bidir,PIN_C10,7,B7_N0,PIN_C10,1.8 V,,,,,
HDMI_I2C_SDA,Bidir,PIN_B15,7,B7_N0,PIN_B15,1.8 V,,,,,
HDMI_I2S[3],Bidir,PIN_B8,7,B7_N0,PIN_B8,1.8 V,,,,,
HDMI_I2S[2],Bidir,PIN_A8,7,B7_N0,PIN_A8,1.8 V,,,,,
HDMI_I2S[1],Bidir,PIN_A11,7,B7_N0,PIN_A11,1.8 V,,,,,
HDMI_I2S[0],Bidir,PIN_A9,7,B7_N0,PIN_A9,1.8 V,,,,,
HDMI_LRCLK,Bidir,PIN_A10,7,B7_N0,PIN_A10,1.8 V,,,,,
HDMI_MCLK,Bidir,PIN_A7,7,B7_N0,PIN_A7,1.8 V,,,,,
HDMI_SCLK,Bidir,PIN_D12,7,B7_N0,PIN_D12,1.8 V,,,,,
HDMI_TX_CLK,Output,PIN_D6,8,B8_N0,PIN_D6,1.2 V,,,,,
HDMI_TX_D[23],Output,PIN_C13,7,B7_N0,PIN_C13,1.8 V,,,,,
HDMI_TX_D[22],Output,PIN_A18,7,B7_N0,PIN_A18,1.8 V,,,,,
HDMI_TX_D[21],Output,PIN_B14,7,B7_N0,PIN_B14,1.8 V,,,,,
HDMI_TX_D[20],Output,PIN_B12,7,B7_N0,PIN_B12,1.8 V,,,,,
HDMI_TX_D[19],Output,PIN_B17,7,B7_N0,PIN_B17,1.8 V,,,,,
HDMI_TX_D[18],Output,PIN_C12,7,B7_N0,PIN_C12,1.8 V,,,,,
HDMI_TX_D[17],Output,PIN_C16,7,B7_N0,PIN_C16,1.8 V,,,,,
HDMI_TX_D[16],Output,PIN_A13,7,B7_N0,PIN_A13,1.8 V,,,,,
HDMI_TX_D[15],Output,PIN_A16,7,B7_N0,PIN_A16,1.8 V,,,,,
HDMI_TX_D[14],Output,PIN_A12,7,B7_N0,PIN_A12,1.8 V,,,,,
HDMI_TX_D[13],Output,PIN_A15,7,B7_N0,PIN_A15,1.8 V,,,,,
HDMI_TX_D[12],Output,PIN_A14,7,B7_N0,PIN_A14,1.8 V,,,,,
HDMI_TX_D[11],Output,PIN_C15,7,B7_N0,PIN_C15,1.8 V,,,,,
HDMI_TX_D[10],Output,PIN_B16,7,B7_N0,PIN_B16,1.8 V,,,,,
HDMI_TX_D[9],Output,PIN_A17,7,B7_N0,PIN_A17,1.8 V,,,,,
HDMI_TX_D[8],Output,PIN_C14,7,B7_N0,PIN_C14,1.8 V,,,,,
HDMI_TX_D[7],Output,PIN_A19,7,B7_N0,PIN_A19,1.8 V,,,,,
HDMI_TX_D[6],Output,PIN_D13,7,B7_N0,PIN_D13,1.8 V,,,,,
HDMI_TX_D[5],Output,PIN_B19,7,B7_N0,PIN_B19,1.8 V,,,,,
HDMI_TX_D[4],Output,PIN_D14,7,B7_N0,PIN_D14,1.8 V,,,,,
HDMI_TX_D[3],Output,PIN_C19,7,B7_N0,PIN_C19,1.8 V,,,,,
HDMI_TX_D[2],Output,PIN_C17,7,B7_N0,PIN_C17,1.8 V,,,,,
HDMI_TX_D[1],Output,PIN_D17,7,B7_N0,PIN_D17,1.8 V,,,,,
HDMI_TX_D[0],Output,PIN_C18,7,B7_N0,PIN_C18,1.8 V,,,,,
HDMI_TX_DE,Output,PIN_C9,7,B7_N0,PIN_C9,1.8 V,,,,,
HDMI_TX_HS,Output,PIN_B11,7,B7_N0,PIN_B11,1.8 V,,,,,
HDMI_TX_INT,Input,PIN_B10,7,B7_N0,PIN_B10,1.8 V,,,,,
HDMI_TX_VS,Output,PIN_C11,7,B7_N0,PIN_C11,1.8 V,,,,,
KEY[1],Input,PIN_H22,6,B6_N0,PIN_H22,1.5 V Schmitt Trigger,,,,,
KEY[0],Input,PIN_H21,6,B6_N0,PIN_H21,1.5 V Schmitt Trigger,,,,,
LED[7],Output,PIN_C5,8,B8_N0,PIN_C5,1.2 V,,,,,
LED[6],Output,PIN_B4,8,B8_N0,PIN_B4,1.2 V,,,,,
LED[5],Output,PIN_A5,8,B8_N0,PIN_A5,1.2 V,,,,,
LED[4],Output,PIN_C4,8,B8_N0,PIN_C4,1.2 V,,,,,
LED[3],Output,PIN_B7,8,B8_N0,PIN_B7,1.2 V,,,,,
LED[2],Output,PIN_A6,8,B8_N0,PIN_A6,1.2 V,,,,,
LED[1],Output,PIN_C8,8,B8_N0,PIN_C8,1.2 V,,,,,
LED[0],Output,PIN_C7,8,B8_N0,PIN_C7,1.2 V,,,,,
LIGHT_I2C_SCL,Output,PIN_Y8,3,B3_N0,PIN_Y8,3.3-V LVTTL,,,,,
LIGHT_I2C_SDA,Bidir,PIN_AA8,3,B3_N0,PIN_AA8,3.3-V LVTTL,,,,,
LIGHT_INT,Bidir,PIN_AA9,3,B3_N0,PIN_AA9,3.3-V LVTTL,,,,,
MAX10_CLK1_50,Input,PIN_M8,2,B2_N0,PIN_M8,2.5 V,,,,,
MAX10_CLK2_50,Input,PIN_P11,3,B3_N0,PIN_P11,3.3-V LVTTL,,,,,
MIPI_CORE_EN,Output,PIN_V3,2,B2_N0,PIN_V3,2.5 V,,,,,
MIPI_I2C_SCL,Output,PIN_M1,2,B2_N0,PIN_M1,2.5 V,,,,,
MIPI_I2C_SDA,Bidir,PIN_M2,2,B2_N0,PIN_M2,2.5 V,,,,,
MIPI_LP_MC_n,Input,PIN_E10,8,B8_N0,PIN_E10,1.2 V,,,,,
MIPI_LP_MC_p,Input,PIN_E11,8,B8_N0,PIN_E11,1.2 V,,,,,
MIPI_LP_MD_n[3],Input,PIN_A2,8,B8_N0,PIN_A2,1.2 V,,,,,
MIPI_LP_MD_n[2],Input,PIN_B2,8,B8_N0,PIN_B2,1.2 V,,,,,
MIPI_LP_MD_n[1],Input,PIN_C2,8,B8_N0,PIN_C2,1.2 V,,,,,
MIPI_LP_MD_n[0],Input,PIN_A3,8,B8_N0,PIN_A3,1.2 V,,,,,
MIPI_LP_MD_p[3],Input,PIN_B3,8,B8_N0,PIN_B3,1.2 V,,,,,
MIPI_LP_MD_p[2],Input,PIN_B1,8,B8_N0,PIN_B1,1.2 V,,,,,
MIPI_LP_MD_p[1],Input,PIN_C3,8,B8_N0,PIN_C3,1.2 V,,,,,
MIPI_LP_MD_p[0],Input,PIN_A4,8,B8_N0,PIN_A4,1.2 V,,,,,
MIPI_MCLK,Output,PIN_U3,2,B2_N0,PIN_U3,2.5 V,,,,,
MIPI_MC_p,Input,PIN_N5,2,B2_N0,PIN_N5,LVDS,,,,MIPI_MC_p(n),
MIPI_MC_p(n),Input,,2,B2_N0,PIN_N4,LVDS,,,,MIPI_MC_p,
MIPI_MD_p[3],Input,PIN_N2,2,B2_N0,PIN_N2,LVDS,,,,MIPI_MD_p[3](n),
MIPI_MD_p[3](n),Input,,2,B2_N0,PIN_N3,LVDS,,,,MIPI_MD_p[3],
MIPI_MD_p[2],Input,PIN_T2,2,B2_N0,PIN_T2,LVDS,,,,MIPI_MD_p[2](n),
MIPI_MD_p[2](n),Input,,2,B2_N0,PIN_T1,LVDS,,,,MIPI_MD_p[2],
MIPI_MD_p[1],Input,PIN_N1,2,B2_N0,PIN_N1,LVDS,,,,MIPI_MD_p[1](n),
MIPI_MD_p[1](n),Input,,2,B2_N0,PIN_P1,LVDS,,,,MIPI_MD_p[1],
MIPI_MD_p[0],Input,PIN_R2,2,B2_N0,PIN_R2,LVDS,,,,MIPI_MD_p[0](n),
MIPI_MD_p[0](n),Input,,2,B2_N0,PIN_R1,LVDS,,,,MIPI_MD_p[0],
MIPI_RESET_n,Output,PIN_T3,2,B2_N0,PIN_T3,2.5 V,,,,,
MIPI_WP,Output,PIN_U1,2,B2_N0,PIN_U1,2.5 V,,,,,
NET_COL,Input,PIN_R4,2,B2_N0,PIN_R4,2.5 V,,,,,
NET_CRS,Input,PIN_P5,2,B2_N0,PIN_P5,2.5 V,,,,,
NET_MDC,Output,PIN_R5,2,B2_N0,PIN_R5,2.5 V,,,,,
NET_MDIO,Bidir,PIN_N8,2,B2_N0,PIN_N8,2.5 V,,,,,
NET_PCF_EN,Output,PIN_V9,3,B3_N0,PIN_V9,3.3-V LVTTL,,,,,
NET_RESET_n,Output,PIN_R3,2,B2_N0,PIN_R3,2.5 V,,,,,
NET_RXD[3],Input,PIN_P8,2,B2_N0,PIN_P8,2.5 V,,,,,
NET_RXD[2],Input,PIN_R7,2,B2_N0,PIN_R7,2.5 V,,,,,
NET_RXD[1],Input,PIN_U4,2,B2_N0,PIN_U4,2.5 V,,,,,
NET_RXD[0],Input,PIN_U5,2,B2_N0,PIN_U5,2.5 V,,,,,
NET_RX_CLK,Input,PIN_T6,2,B2_N0,PIN_T6,2.5 V,,,,,
NET_RX_DV,Input,PIN_P4,2,B2_N0,PIN_P4,2.5 V,,,,,
NET_RX_ER,Input,PIN_V1,2,B2_N0,PIN_V1,2.5 V,,,,,
NET_TXD[3],Output,PIN_W2,2,B2_N0,PIN_W2,2.5 V,,,,,
NET_TXD[2],Output,PIN_N9,2,B2_N0,PIN_N9,2.5 V,,,,,
NET_TXD[1],Output,PIN_W1,2,B2_N0,PIN_W1,2.5 V,,,,,
NET_TXD[0],Output,PIN_U2,2,B2_N0,PIN_U2,2.5 V,,,,,
NET_TX_CLK,Input,PIN_T5,2,B2_N0,PIN_T5,2.5 V,,,,,
NET_TX_EN,Output,PIN_P3,2,B2_N0,PIN_P3,2.5 V,,,,,
PMONITOR_ALERT,Input,PIN_Y4,3,B3_N0,PIN_Y4,3.3-V LVTTL,,,,,
PMONITOR_I2C_SCL,Output,PIN_Y3,3,B3_N0,PIN_Y3,3.3-V LVTTL,,,,,
PMONITOR_I2C_SDA,Bidir,PIN_Y1,3,B3_N0,PIN_Y1,3.3-V LVTTL,,,,,
RH_TEMP_DRDY_n,Input,PIN_AB9,3,B3_N0,PIN_AB9,3.3-V LVTTL,,,,,
RH_TEMP_I2C_SCL,Output,PIN_Y10,3,B3_N0,PIN_Y10,3.3-V LVTTL,,,,,
RH_TEMP_I2C_SDA,Bidir,PIN_AA10,3,B3_N0,PIN_AA10,3.3-V LVTTL,,,,,
SD_CLK,Output,PIN_T20,5,B5_N0,PIN_T20,1.5 V,,,,,
SD_CMD,Bidir,PIN_T21,5,B5_N0,PIN_T21,1.5 V,,,,,
SD_CMD_DIR,Output,PIN_U22,5,B5_N0,PIN_U22,1.5 V,,,,,
SD_D0_DIR,Output,PIN_T22,5,B5_N0,PIN_T22,1.5 V,,,,,
SD_D123_DIR,Bidir,PIN_U21,5,B5_N0,PIN_U21,1.5 V,,,,,
SD_DAT[3],Bidir,PIN_R20,5,B5_N0,PIN_R20,1.5 V,,,,,
SD_DAT[2],Bidir,PIN_T19,5,B5_N0,PIN_T19,1.5 V,,,,,
SD_DAT[1],Bidir,PIN_T18,5,B5_N0,PIN_T18,1.5 V,,,,,
SD_DAT[0],Bidir,PIN_R18,5,B5_N0,PIN_R18,1.5 V,,,,,
SD_FB_CLK,Input,PIN_R22,5,B5_N0,PIN_R22,1.5 V,,,,,
SD_SEL,Output,PIN_P13,4,B4_N0,PIN_P13,3.3-V LVTTL,,,,,
SW[1],Input,PIN_J22,6,B6_N0,PIN_J22,1.5 V Schmitt Trigger,,,,,
SW[0],Input,PIN_J21,6,B6_N0,PIN_J21,1.5 V Schmitt Trigger,,,,,
TEMP_CS_n,Output,PIN_AB4,3,B3_N0,PIN_AB4,3.3-V LVTTL,,,,,
TEMP_SC,Output,PIN_AA1,3,B3_N0,PIN_AA1,3.3-V LVTTL,,,,,
TEMP_SIO,Bidir,PIN_Y2,3,B3_N0,PIN_Y2,3.3-V LVTTL,,,,,
USB_CLKIN,Input,PIN_H11,8,B8_N0,PIN_H11,1.2 V,,,,,
USB_CLKOUT,Output,PIN_H17,6,B6_N0,PIN_H17,1.5 V,,,,,
USB_CLKOUT_NOPLL,Output,PIN_F16,7,B7_N0,PIN_F16,1.8 V,,,,,
USB_CS,Output,PIN_J11,7,B7_N0,PIN_J11,1.8 V,,,,,
USB_DATA[7],Bidir,PIN_F15,7,B7_N0,PIN_F15,1.8 V,,,,,
USB_DATA[6],Bidir,PIN_E15,7,B7_N0,PIN_E15,1.8 V,,,,,
USB_DATA[5],Bidir,PIN_D15,7,B7_N0,PIN_D15,1.8 V,,,,,
USB_DATA[4],Bidir,PIN_H14,7,B7_N0,PIN_H14,1.8 V,,,,,
USB_DATA[3],Bidir,PIN_E14,7,B7_N0,PIN_E14,1.8 V,,,,,
USB_DATA[2],Bidir,PIN_H13,7,B7_N0,PIN_H13,1.8 V,,,,,
USB_DATA[1],Bidir,PIN_E13,7,B7_N0,PIN_E13,1.8 V,,,,,
USB_DATA[0],Bidir,PIN_E12,7,B7_N0,PIN_E12,1.8 V,,,,,
USB_DIR,Input,PIN_J13,7,B7_N0,PIN_J13,1.8 V,,,,,
USB_FAULT_n,Input,PIN_D8,8,B8_N0,PIN_D8,1.2 V,,,,,
USB_NXT,Input,PIN_H12,7,B7_N0,PIN_H12,1.8 V,,,,,
USB_RESET_n,Output,PIN_E16,7,B7_N0,PIN_E16,1.8 V,,,,,
USB_STP,Output,PIN_J12,7,B7_N0,PIN_J12,1.8 V,,,,,
altera_reserved_tck,Input,,,,PIN_G2,,,,,,
altera_reserved_tdi,Input,,,,PIN_L4,,,,,,
altera_reserved_tdo,Output,,,,PIN_M5,,,,,,
altera_reserved_tms,Input,,,,PIN_H2,,,,,,
DDR3_A[0],Unknown,PIN_E21,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_A[1],Unknown,PIN_V20,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[2],Unknown,PIN_V21,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[3],Unknown,PIN_C20,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_A[4],Unknown,PIN_Y21,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[5],Unknown,PIN_J14,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_A[6],Unknown,PIN_V18,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[7],Unknown,PIN_U20,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[8],Unknown,PIN_Y20,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[9],Unknown,PIN_W22,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[10],Unknown,PIN_C22,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_A[11],Unknown,PIN_Y22,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[12],Unknown,PIN_N18,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_A[13],Unknown,PIN_V22,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_A[14],Unknown,PIN_W20,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_BA[0],Unknown,PIN_D19,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_BA[1],Unknown,PIN_W19,5,B5_N0,,SSTL-15 Class I,,,,,
DDR3_BA[2],Unknown,PIN_F19,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_CAS_n,Unknown,PIN_E20,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_CKE,Unknown,PIN_B22,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_CK_n,Unknown,PIN_E18,6,B6_N0,,Differential 1.5-V SSTL Class I,,,,DDR3_CK_p,
DDR3_CK_p,Unknown,PIN_D18,6,B6_N0,,Differential 1.5-V SSTL Class I,,,,DDR3_CK_n,
DDR3_CLK_50,Unknown,PIN_N15,6,B6_N0,,1.5 V,,,,,
DDR3_CS_n,Unknown,PIN_F22,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_DM[0],Unknown,PIN_N19,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_DM[1],Unknown,PIN_J15,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_DQ[0],Unknown,PIN_L20,6,B6_N0,,SSTL-15 Class I,,,,,
DDR3_DQ[1],Unknown,PIN_L19,6,B6_N0,,SSTL-15 Class I,,,,,
